ZIP CODE;ZIP NAME;RTO
1601;SAAVEDRA;VTE LOPEZ
1602;FLORIDA;VTE LOPEZ
1603;VILLA MARTELLI;VTE LOPEZ
1605;MUNRO;VTE LOPEZ
1636;OLIVOS;VTE LOPEZ
1638;VICENTE LOPEZ;VTE LOPEZ
1607;VILLA ADELINA;ADELINA/BOULOGNE
1609;BOULOGNE;ADELINA/BOULOGNE
1611;DON TORCUATO;DON TORCUATO
1617;PACHECO;PACHECO
1621;;PACHECO
1640;MARTINEZ;SAN ISIDRO
1641;ACASSUSO;SAN ISIDRO
1642;SAN ISIDRO;SAN ISIDRO
1650;SAN MARTIN;SAN MARTIN
1651;SAN ANDRES;SAN MARTIN
1653;LINCH;SAN MARTIN
1655;SUAREZ;SAN MARTIN
1672;LYNCH;SAN MARTIN
1676;SANTOS LUGARES;SAN MARTIN
1644;VICTORIA;SAN FERNANDO
1646;SAN FERNANDO;SAN FERNANDO
1648;TIGRE;SAN FERNANDO
5186;AGRACIA;ALTA GRACIA
