Calle,Desde,Hasta,Carro y Ruta,Par/Impar/Ambos,Desde,Hasta,Carro y Ruta,Par/Impar/Ambos,Desde,Hasta,Carro y Ruta,Par/Impar/Ambos,Desde,Hasta,Carro y Ruta,Par/Impar/Ambos
14 DE JULIO,1,2400,719,AMBOS,,,,,,,,,,,,
ABRIATA PABLO,1,299,429,AMBOS,500,899,403,AMBOS,1501,2099,275,AMBOS,2101,2800,719,AMBOS
ACCESO RAMAL TIGRE,1,398,429,PAR,,,,PAR,,,,PAR,,,,PAR
ADER BERNARDO,1,1700,719,AMBOS,,,,,,,,,,,,
AGUADO,1,1299,403,AMBOS,2001,2799,429,AMBOS,,,,,,,,
AMANCIO ALCORTA,1,1400,719,PAR,,,,,,,,,,,,
ANCHORENA TOMAS MANUEL DE,301,799,429,AMBOS,1101,1199,403,AMBOS,1201,2099,275,AMBOS,2101,2799,719,AMBOS
ANTARTIDA ARGENTINA,601,799,403,AMBOS,1401,2800,429,AMBOS,,,,,,,,
ARANA GDOR,1,1500,403,AMBOS,2000,2800,429,AMBOS,,,,,,,,
ARAOZ,1001,1299,403,AMBOS,1600,2099,275,AMBOS,2200,2599,719,AMBOS,,,,
ARGERICH DR COSME,1,2400,403,AMBOS,,,,,,,,,,,,
ASAMBLEA,1,2400,719,AMBOS,,,,,,,,,,,,
AVENIDA DE MAYO,1,999,403,AMBOS,1001,1599,275,,,,,,,,,
AZOPARDO,2401,2900,719,AMBOS,,,,,,,,,,,,
BACACAY,1,1800,719,AMBOS,,,,,,,,,,,,
BAGNATI DR RAUL,1,799,429,AMBOS,1100,1199,403,AMBOS,1201,2099,275,AMBOS,2201,2799,719,AMBOS
BARRIO SAN ISIDRO,1,133,275,AMBOS,,,,,,,,,,,,
BEIRO FRANCISCO,1,400,403,AMBOS,,,,,,,,,,,,
BERMEJO,1,699,403,AMBOS,1301,2799,429,,,,,,,,,
BETBEDER ALTE ONOFRE,1,799,429,AMBOS,901,1199,403,AMBOS,1201,2099,275,AMBOS,2101,2400,719,AMBOS
BLANCO ENCALADA ALTE MANUEL,1,2700,429,PAR,,,,,,,,,,,,
BLANDENGUES,1,2500,275,AMBOS,,,,,,,,,,,,
BLAS PARERA,1,699,429,AMBOS,1701,1799,403,AMBOS,,,,,,,,
BOEDO,601,1299,403,AMBOS,1600,2100,275,AMBOS,2200,3100,719,AMBOS,,,,
BOGADO CNEL JOSE FELIX,1,799,403,AMBOS,1401,1899,275,AMBOS,2100,3099,719,AMBOS,,,,
BOMBEROS VOLUNTARIOS,1,700,403,AMBOS,,,,,,,,,,,,
BULNES,1,2700,719,AMBOS,,,,,,,,,,,,
CALCAGNO MONS ANDRES,1,1100,403,AMBOS,,,,,,,,,,,,
CALLAO,2001,2200,719,AMBOS,,,,,,,,,,,,
CAMINO REAL MORON ,1,699,719,AMBOS,701,899,275,AMBOS,1501,2500,429,AMBOS,,,,
CAMPOS GRAL LUIS MARIA,1,799,429,AMBOS,1200,2099,275,AMBOS,2100,2800,719,AMBOS,,,,
CANALEJAS,1,1000,429,AMBOS,,,,,,,,,,,,
CAPITAN JUAN DE SAN MARTIN,1,599,429,AMBOS,1099,1299,403,AMBOS,1301,2099,275,AMBOS,2101,2899,719,AMBOS
CASTIGLIA PADRE,1,2800,719,AMBOS,,,,,,,,,,,,
CASTILLO CNEL JOSE MARIA,1,1000,719,AMBOS,,,,,,,,,,,,
CASTRO GDOR EMILIO,1,1500,719,AMBOS,,,,,,,,,,,,
CAZON MARIA B DE,1,799,429,AMBOS,1201,2099,275,AMBOS,2100,2800,719,AMBOS,,,,
CERRITO,1201,1500,275,AMBOS,,,,,,,,,,,,
CERVANTES,701,799,429,AMBOS,1200,1899,275,AMBOS,2301,2800,719,AMBOS,,,,
CESPEDES MARTINA,501,1599,403,AMBOS,1601,2199,275,AMBOS,2201,3200,719,AMBOS,,,,
COLOMBRES,1,99,429,AMBOS,501,1599,403,AMBOS,,,,,,,,
CURA ALLIEVI,1,2100,403,AMBOS,,,,,,,,,,,,
CURUPAYTI,1,2300,403,AMBOS,,,,,,,,,,,,
DARREGUEYRA DR JOSE DE,1,199,429,AMBOS,501,1099,403,AMBOS,1901,2199,275,AMBOS,2201,2900,719,AMBOS
DEAN FUNES  GREGORIO,1,1600,719,AMBOS,,,,,,,,,,,,
DRAGO DR LUIS MARIA,1,1499,403,AMBOS,1501,2099,275,AMBOS,2101,3100,719,AMBOS,,,,
EL CHASQUE,2701,2900,719,AMBOS,,,,,,,,,,,,
EL HORNERO,2101,2200,275,AMBOS,,,,,,,,,,,,
EL INDIO,1,1299,403,AMBOS,1301,1899,275,AMBOS,1901,2800,719,AMBOS,,,,
EL RESERO,1,1000,403,AMBOS,,,,,,,,,,,,
EL ZORZAL,1,299,429,AMBOS,501,999,403,AMBOS,1501,2099,719,AMBOS,2101,2899,719,AMBOS
ESQUIU FRAY MAMERTO,2501,2900,719,AMBOS,,,,,,,,,,,,
FALCON CNEL RAMON LORENZO,1,400,429,AMBOS,,,,,,,,,,,,
FALUCHO,301,400,275,AMBOS,,,,,,,,,,,,
FIGUEROA ALCORTA PRES JOSE,1,2500,275,AMBOS,,,,,,,,,,,,
FONDO DE LA LEGUA,1,1399,429,IMPAR,2101,2999,403,IMPAR,,,,,,,,
FOURNIER RASTREADOR,1701,2400,403,AMBOS,,,,,,,,,,,,
FRAY CAYETANO RODRIGUEZ,1,1400,719,AMBOS,,,,,,,,,,,,
GARDEL CARLOS,1,399,429,AMBOS,801,999,403,AMBOS,1501,2099,275,AMBOS,2101,2899,719,AMBOS
GASCON ESTEBAN AGUSTIN,1,199,429,AMBOS,601,999,403,AMBOS,1901,2099,275,AMBOS,2201,2900,719,AMBOS
GODOY CRUZ,1,299,429,AMBOS,501,799,403,AMBOS,1401,2499,275,AMBOS,,,,
GONZALEZ DOCTOR JOAQUIN VICTOR,501,2200,403,AMBOS,,,,AMBOS,,,,,,,,
GORRITI,1,299,429,AMBOS,501,1599,403,AMBOS,1601,2299,275,AMBOS,2301,3100,719,AMBOS
GRANADA MAESTRO,1,299,429,AMBOS,401,499,403,AMBOS,1701,1799,275,AMBOS,,,,
GUAYAQUIL CIUDAD DE,1,1900,719,AMBOS,,,,AMBOS,,,,,,,,
GURRUCHAGA,1,1199,429,AMBOS,1901,2099,275,AMBOS,2101,2400,719,AMBOS,,,,
HOLMBERG,701,900,403,AMBOS,,,,AMBOS,,,,,,,,
IBERA,1,299,429,AMBOS,901,999,403,AMBOS,,,,,,,,
INDEPENDENCIA,1,2100,275,AMBOS,,,,,,,,,,,,
IPIRANGA,1,1900,275,AMBOS,,,,,,,,,,,,
IRIARTE GRAL TOMAS DE,1,300,403,AMBOS,,,,,,,,,,,,
IRIGOYEN DOCTOR BERNARDO DE,1,300,719,AMBOS,301,2800,275,AMBOS,,,,,,,,
JOSE MARIA MORENO,301,2500,403,AMBOS,,,,,,,,,,,,
JUNIN,1,2500,719,AMBOS,,,,,,,,,,,,
JURAMENTO,1,2100,275,AMBOS,,,,,,,,,,,,
LA CALANDRIA,401,1599,403,AMBOS,1601,2199,275,AMBOS,2201,3100,719,AMBOS,,,,
LA FLORIDA BAT,1,1600,719,AMBOS,,,,,,,,,,,,
LAGOS GRAL HILARIO,701,800,403,AMBOS,1501,2099,275,AMBOS,2101,2600,719,AMBOS,,,,
LAINEZ MANUEL,401,499,429,AMBOS,701,1100,403,AMBOS,1401,2099,275,AMBOS,2101,2899,719,AMBOS
LAMADRID GRAL ,1,2400,403,AMBOS,,,,,,,,,,,,
LARREA,1,399,429,AMBOS,,,,,,,,,,,,
LEBENSOHN MOISES,1,1100,719,AMBOS,,,,,,,,,,,,
LOPE DE VEGA,1,200,403,AMBOS,,,,,,,,,,,,
LORIA,701,900,403,AMBOS,1401,1900,275,AMBOS,2101,2700,719,AMBOS,,,,
LOS CEIBOS,1,1799,719,AMBOS,,,,,,,,,,,,
LOS FORTINES,1,999,403,AMBOS,,,,,,,,,,,,
LOS JAZMINES,1301,1399,403,AMBOS,,,,,,,,,,,,
LOS OLIVOS,1,999,429,AMBOS,,,,,,,,,,,,
LOS PARAISOS,201,1499,403,AMBOS,1501,2000,275,AMBOS,,,,,,,,
